TMDB_ID	Adult	Budget	Genre_ID	Genre_Name	IMDB_ID	Movie_Name	Language	Synopsis	Popularity	Production_Company_IDs	Production_Company_Names	Production_Country_Names	Release_Date	Running_Time	Vote_Count	Vote_Average	Revenue	Tagline	Director	Cast	Screenplay	DOP	Editor	Music_Composer	Assistant_Director
62630	false	19100000	18,28,53,80,10752,	Drama,Action,Thriller,Crime,War,	tt1270262	The Devil's Double	en	A chilling vision of the House of Saddam Hussein comes to life through the eyes of the man who was forced to become the double of Hussein's sadistic son.	7.945	7178,7299,7300,	Corrino Media Corporation,Corsan,Staccato Films,	,,,	2011-02-11	109	331	6.7	5728213	The 80's were brilliant, if you were in charge.	Lee Tamahori,	Dominic Cooper,Ludivine Sagnier,Raad Rawi,Mehmet Ferda,Philip Quast,Mimoun Oaïssa,Khalid Laith,Nasser Memarzia,Dar Salim,Pano Masti,Stewart Scudamore,Amrita Acharia,Amber Rose Revah,Selva Rasalingam,Jamie Harding,Akin Gazi,Elektra Anastasi,Oona Chaplin,	Michael Thomas,Latif Yahia,	Sam McCurdy,		Christian Henson,	
62638	false	0	18,	Drama,	tt1512109	DiDi Hollywood	en	Bar worker Diana Diaz (Elsa Pataky) leaves Madrid for Miami and with new boyfriend, Robert (Luis Hacha), they then head for Hollywood, prepared to do anything for fame.	2.365				2010-10-15	102	5	4.2	0	Cuidado con lo que deseas porque vas a conseguirlo	Bigas Luna,	Elsa Pataky,Peter Coyote,Paul Sculfor,Giovanna Zacarías,Luis Hacha,Flora Martínez,	Bigas Luna,Carmen Chaves Gastaldo,				
62728	false	0	18,53,80,	Drama,Thriller,Crime,	tt1233192	Brighton Rock	en	Charts the headlong fall of Pinkie, a razor-wielding disadvantaged teenager with a religious death wish.	5.056	2452,288,3445,127120,52724,16880,113521,	UK Film Council,BBC Films,Kudos,Film Council Development Fund,Film Council Premiere Fund,Shine Pictures,StudioCanal,	GB,GB,GB,,,GB,GB,	2010-09-13	111	64	6.0	0	Love. Murder. Revenge.	Rowan Joffe,	Andy Serkis,Helen Mirren,John Hurt,Sam Riley,Andrea Riseborough,Sean Harris,Phil Davis,Nonso Anozie,Craig Parkinson,Geoff Bell,Steven Robertson,Maurice Roeves,Steve Evets,Francis Magee,Adrian Schiller,Pauline Melville,Mona Goodwin,Kerrie Hayes,Lexy Howe,Dennis Banks,Tom Austen,	Rowan Joffe,	John Mathieson,	Joe Walker,	Martin Phipps,	
62764	false	85000000	12,35,18,10751,14,	Adventure,Comedy,Drama,Family,Fantasy,	tt1667353	Mirror Mirror	en	After she spends all her money, an evil enchantress queen schemes to marry a handsome, wealthy prince. There's just one problem - he's in love with a beautiful princess, Snow White. Now, joined by seven rebellious dwarves, Snow White launches an epic battle of good vs. evil...	18.95	11581,7295,12005,12006,12007,12008,	Misher Films,Relativity Media,Yucaipa Films,Goldmann Pictures,Rat Entertainment,Misha Films,	US,US,,,,,	2012-03-15	106	2403	5.9	183018522	The Snow White legend comes alive.	Tarsem Singh,	Lily Collins,Julia Roberts,Armie Hammer,Nathan Lane,Martin Klebba,Jordan Prentice,Mark Povinelli,Joe Gnoffo,Danny Woodburn,Sebastian Saraceno,Ronald Lee Clark,Robert Emms,Mare Winningham,Michael Lerner,Sean Bean,Bonnie Bentley,Arthur Holden,Kwasi Songui,Eric Davis,Kathleen Fee,Nadia Verrucci,Dawn Ford,Alex Ivanovici,Richard Jutras,Mélodie Simard,Kimberly-Sue Murray,Lisa Roberts Gillan,Adam Butcher,André Lanthier,Lisa Noto,William Calvert,Nicholas Guest,Frank Welker,	Marc Klein,Jason Keller,	Brendan Galvin,	Nick Moore,Robert Duffy,	Alan Menken,	
62835	false	40000000	28,53,80,18,	Action,Thriller,Crime,Drama,	tt1657507	Colombiana	en	Zoe Saldana plays a young woman who, after witnessing her parents’ murder as a child in Bogota, grows up to be a stone-cold assassin. She works for her uncle as a hitman by day, but her personal time is spent engaging in vigilante murders that she hopes will lead her to her ultimate target: the mobster responsible for her parents' death.	11.11	11473,6896,6877,6301,104,356,	A.J.O.Z. Films,EuropaCorp,Grive Productions,CinéCinéma,Canal+,TF1 Films Production,	,FR,,,FR,FR,	2011-07-27	108	1591	6.5	60965854	Revenge is beautiful.	Olivier Megaton,	Zoe Saldana,Cliff Curtis,Callum Blue,Michael Vartan,Lennie James,Amandla Stenberg,Graham McTavish,Jesse Borrego,Cynthia Addai-Robinson,Ofelia Medina,Jordi Mollà,Affif Ben Badra,Max Martini,Charles Maquignon,Beto Benitez,Sam Douglas,Angel Garnica,Mark De Alessandro,Reem Kherici,Guillermo Ríos,Silas Cooper,Mylène Pilutik,	Luc Besson,Robert Mark Kamen,	Romain Lacourbas,	Camille Delamarre,	Nathaniel Mechaly,Craig Walker,	
62837	false	37000000	18,10751,	Drama,Family,	tt1564349	Dolphin Tale	en	A story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap.	11.937	10280,1088,	Arc Productions,Alcon Entertainment,	,US,	2011-09-23	113	396	6.9	95404397	Inspired by the amazing true story of Winter	Charles Martin Smith,	Morgan Freeman,Ashley Judd,Harry Connick Jr.,Nathan Gamble,Kris Kristofferson,Ray McKinnon,Frances Sternhagen,Cozi Zuehlsdorff,Nicholas Turner Martin,Carlos Jorge Guerrero,Austin Stowell,Austin Highsmith,Betsy Landin,Juliana Harkavy,Megan Lozicki,Jim Fitzpatrick,Kim Ostrenko,Michael Roark,Rus Blackwell,Denise Durette,Richard Libertini,Ashley White,Tom Nowicki,Marc Macaulay,Vivian Ruiz,Stacy Ann Rose,Kurt Yaeger,Mike Pniewski,Joshua Rush,		Karl Walter Lindenlaub,	Harvey Rosenstock,	Mark Isham,	
62838	false	56000000	35,10749,	Comedy,Romance,	tt1598822	New Year's Eve	en	The lives of several couples and singles in New York intertwine over the course of New Year's Eve.	17.591	12,	New Line Cinema,	US,	2011-12-08	118	1502	5.9	142044638	The one night anything is possible.	Garry Marshall,	Robert De Niro,Katherine Heigl,Ashton Kutcher,Carla Gugino,Lea Michele,Zac Efron,Josh Duhamel,Jessica Biel,Halle Berry,Sofía Vergara,Abigail Breslin,Alyssa Milano,Hilary Swank,Sarah Jessica Parker,Michelle Pfeiffer,Cary Elwes,Seth Meyers,Sarah Paulson,Til Schweiger,Jon Bon Jovi,Héctor Elizondo,Katherine McNamara,Ludacris,Jake T. Austin,Nat Wolff,Yeardley Smith,Ryan Seacrest,Michael Bloomberg,Fiona Choi,James Belushi,Mara Davi,Cassidy Reiff,Russell Peters,Serena Poon,Common,Matthew Broderick,John Lithgow,Larry Miller,					
62904	false	0	27,	Horror,	tt1577055	Mask Maker	en	A lucky couple hits the jackpot when they purchase a 19th century plantation home for pennies on the dollar. Determined to get rich quick, they invite their friends up for the weekend to celebrate their good fortune. It’s quickly apparent that the plantation home’s former residents have not left and the unlucky youths suddenly find themselves running for their lives!	4.588				2011-01-01	90	19	5.3	0	Meet Your Maker	Griff Furst,	Nikki DeLoach,Stephen Colletti,Anabella Casanova,Ross Britz,Terry Kiser,Mariah Bonner,Lara Grice,Michael Berryman,Treat Williams,Jason London,	Griff Furst,Eric Miller,Scott Bolon,				
62910	false	0	35,	Comedy,	tt1668209	Qué pena tu vida	es	Javier wants to forget his ex. But it's impossible when she's always on line. Getting drunk and partying it's the only solution. Or not.	2.305				2010-10-21	0	16	5.0	0	How do you disconnect from someone, if you're always connected?	Nicolás López,	Ariel Levy,Lucy Cominetti,Andrea Velasco,Ignacia Allamand,Paz Bascuñan,Claudia Celedón,Nicolás Martínez,Leonor Varela,Boris Quercia,Carolina de Moras,Fabrizio Copano,Marcial Tagle,Álvaro Morales,			Diego Macho Gómez,	Manuel Riveiro,	
62934	false	0	10402,35,	Music,Comedy,	tt1791504	Fight for Your Right Revisited	en	Fight For Your Right Revisited, stars actors like Will Ferrell, Seth Rogen and Elijah Wood playing the roles of the B-Boys three members, Mike D, Ad Rock and MCA. It is a reprisal of the video the trio made for their 1987 single Fight For Your Right, and features music from the band's new album, Hot Sauce Committe Part Two.	4.822				2011-04-22	30	38	6.5	0		Adam Yauch,	Elijah Wood,Danny McBride,Seth Rogen,Susan Sarandon,Stanley Tucci,Rashida Jones,Will Arnett,Adam Scott,Rainn Wilson,Arabella Field,Ted Danson,Steve Buscemi,Roman Coppola,Shannyn Sossamon,Milo Ventimiglia,Amy Poehler,Laura Dern,Alicia Silverstone,Mary Steenburgen,Jason Schwartzman,Losel Yauch,David Cross,Mike Mills,Chloë Sevigny,Kirsten Dunst,Maya Rudolph,Orlando Bloom,John C. Reilly,Jack Black,Will Ferrell,Adam Yauch,Michael Diamond,Adam Horovitz,Martin Starr,			Neal Usatin,		
